CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank
4315313,QUATRO IRMAOS,RS,591.5,1
3556206,VALINHOS,SP,569.8,2
3171303,VICOSA,MG,565.86,3
3303302,NITEROI,RJ,562.75,4
3155900,RIO PRETO,MG,562.71,5
3126000,FLORESTAL,MG,561.11,6
3303401,NOVA FRIBURGO,RJ,557.98,7
3105608,BARBACENA,MG,557.13,8
4205407,FLORIANOPOLIS,SC,556.03,9
3136702,JUIZ DE FORA,MG,552.79,10
4111605,IVATUBA,PR,552.03,11
3119708,CORONEL XAVIER CHAVES,MG,551.26,12
3501905,AMPARO,SP,550.71,13
3548807,SAO CAETANO DO SUL,SP,549.54,14
3205309,VITORIA,ES,549.37,15
4215653,SANTA ROSA DO SUL,SC,549.29,16
4316758,SANTA CLARA DO SUL,RS,549.14,17
4323770,WESTFALIA,RS,548.56,18
3106200,BELO HORIZONTE,MG,548.28,19
4313334,NOVA RAMADA,RS,548.13,20
3162500,SAO JOAO DEL REI,MG,547.57,21
3127388,GOIANA,MG,547.09,22
3543402,RIBEIRAO PRETO,SP,546.7,23
4213203,POMERODE,SC,546.54,24
3159605,SANTA RITA DO SAPUCAI,MG,545.75,25
4308102,FELIZ,RS,545.58,26
3526001,JUNQUEIROPOLIS,SP,545.27,27
3549805,SAO JOSE DO RIO PRETO,SP,545.2,28
4301008,ARROIO DO MEIO,RS,545.11,29
3162807,SAO JOAO EVANGELISTA,MG,544.92,30
3170701,VARGINHA,MG,544.55,31
4317558,SANTO ANTONIO DO PALMA,RS,544.42,32
3152501,POUSO ALEGRE,MG,544.04,33
3549904,SAO JOSE DOS CAMPOS,SP,543.91,34
3104304,AREADO,MG,543.91,35
3518404,GUARATINGUETA,SP,543.9,36
3205069,VENDA NOVA DO IMIGRANTE,ES,543.74,37
3519055,HOLAMBRA,SP,543.58,38
3548906,SAO CARLOS,SP,543.1,39
4106902,CURITIBA,PR,542.92,40
3547502,SANTA RITA DO PASSA QUATRO,SP,542.89,41
3539301,PIRASSUNUNGA,SP,542.85,42
3550407,SAO PEDRO,SP,542.69,43
3163706,SAO LOURENCO,MG,542.48,44
3136207,JOAO MONLEVADE,MG,542.39,45
3503208,ARARAQUARA,SP,542.17,46
3525904,JUNDIAI,SP,542,47
3156106,RITAPOLIS,MG,541.86,48
4320677,SINIMBU,RS,541.76,49
4314753,POCO DAS ANTAS,RS,541.29,50
3136900,JURUAIA,MG,541.26,51
3538709,PIRACICABA,SP,540.93,52
3122306,DIVINOPOLIS,MG,540.91,53
3511102,CATANDUVA,SP,540.68,54
3520442,ILHA SOLTEIRA,SP,540.68,55
3526902,LIMEIRA,SP,540.56,56
4208005,ITA,SC,540.35,57
4201208,ANTONIO CARLOS,SC,540.14,58
3133808,ITAUNA,MG,540.02,59
4320404,SERAFINA CORREA,RS,539.93,60
4323606,VISTA ALEGRE DO PRATA,RS,539.91,61
3109105,BUENO BRANDAO,MG,539.63,62
3513702,DESCALVADO,SP,539.54,63
3151800,POCOS DE CALDAS,MG,539.4,64
3556701,VINHEDO,SP,539.36,65
3106903,BICAS,MG,539.25,66
4310801,IVOTI,RS,539.22,67
3144102,MUZAMBINHO,MG,538.97,68
4115200,MARINGA,PR,538.9,69
3509502,CAMPINAS,SP,538.82,70
3507506,BOTUCATU,SP,538.78,71
3133105,ITANHANDU,MG,538.51,72
3303955,PINHEIRAL,RJ,538.44,73
3111200,CAMPO BELO,MG,538.41,74
4313201,NOVA PETROPOLIS,RS,538.3,75
3554656,TORRE DE PEDRA,SP,538.16,76
3154200,RESENDE COSTA,MG,538.12,77
4318051,SAO DOMINGOS DO SUL,RS,538.11,78
3138203,LAVRAS,MG,537.97,79
2202729,COCAL DOS ALVES,PI,537.87,80
4308201,FLORES DA CUNHA,RS,537.81,81
4302352,BOM PRINCIPIO,RS,537.8,82
3515509,FERNANDOPOLIS,SP,537.72,83
3304557,RIO DE JANEIRO,RJ,537.71,84
3530805,MOJI MIRIM,SP,537.23,85
3166006,SENHORA DE OLIVEIRA,MG,536.91,86
4322806,VERANOPOLIS,RS,536.74,87
3543907,RIO CLARO,SP,536.7,88
3130606,INCONFIDENTES,MG,536.67,89
4209102,JOINVILLE,SC,536.66,90
3168705,TIMOTEO,MG,536.53,91
4218707,TUBARAO,SC,536.52,92
4110508,IPIRANGA,PR,536.49,93
3505302,BARRA BONITA,SP,536.42,94
3302403,MACAE,RJ,536.34,95
3116209,CHIADOR,MG,536.34,96
4202404,BLUMENAU,SC,536.25,97
3507605,BRAGANCA PAULISTA,SP,536.08,98
3524303,JABOTICABAL,SP,536,99
3501608,AMERICANA,SP,535.97,100
4322707,VERA CRUZ,RS,535.9,101
4310009,IBIRUBA,RS,535.84,102
3306305,VOLTA REDONDA,RJ,535.83,103
3553401,TANABI,SP,535.64,104
3148004,PATOS DE MINAS,MG,535.47,105
4209003,JOACABA,SC,535.44,106
4323408,VILA MARIA,RS,535.4,107
4312757,NOVA ALVORADA,RS,535.25,108
4322558,VANINI,RS,535.17,109
3502804,ARACATUBA,SP,535.1,110
3169901,UBA,MG,535.1,111
3102605,ANDRADAS,MG,535.09,112
3527207,LORENA,SP,535.08,113
4316907,SANTA MARIA,RS,535.02,114
4313466,NOVO XINGU,RS,534.95,115
3535903,PARANAPUA,SP,534.92,116
3170206,UBERLANDIA,MG,534.85,117
3144805,NOVA LIMA,MG,534.78,118
4217204,SAO MIGUEL DO OESTE,SC,534.65,119
3170107,UBERABA,MG,534.5,120
4316733,SANTA CECILIA DO SUL,RS,534.44,121
3132206,ITAGUARA,MG,534.31,122
3523404,ITATIBA,SP,534.23,123
4302105,BENTO GONCALVES,RS,534.2,124
4305207,CERRO LARGO,RS,534.1,125
4219309,VIDEIRA,SC,533.88,126
5208707,GOIANIA,GO,533.87,127
4312674,NICOLAU VERGUEIRO,RS,533.77,128
3549706,SAO JOSE DO RIO PARDO,SP,533.52,129
3305802,TERESOPOLIS,RJ,533.41,130
3520509,INDAIATUBA,SP,533.38,131
3548500,SANTOS,SP,533.31,132
3115102,CASSIA,MG,533.29,133
4313409,NOVO HAMBURGO,RS,533.21,134
3508207,BURITIZAL,SP,533.21,135
3118007,CONGONHAS,MG,533.18,136
3546405,SANTA CRUZ DO RIO PARDO,SP,533.15,137
4314902,PORTO ALEGRE,RS,533.08,138
3536505,PAULINIA,SP,533,139
4312153,MATO LEITAO,RS,532.93,140
3165701,SENADOR FIRMINO,MG,532.9,141
3304201,RESENDE,RJ,532.87,142
4318499,SAO JOSE DO INHACORA,RS,532.82,143
4314803,PORTAO,RS,532.81,144
4305959,COTIPORA,RS,532.66,145
3161908,SAO GONCALO DO RIO ABAIXO,MG,532.53,146
4317806,SANTO AUGUSTO,RS,532.52,147
3100203,ABAETE,MG,532.37,148
4201307,ARAQUARI,SC,532.24,149
4305108,CAXIAS DO SUL,RS,532.16,150
3131307,IPATINGA,MG,532.15,151
3132404,ITAJUBA,MG,532.15,152
3155801,RIO POMBA,MG,532.13,153
5205406,CERES,GO,532.04,154
3539004,PIRANGI,SP,531.83,155
3555109,TUPI PAULISTA,SP,531.83,156
3503307,ARARAS,SP,531.81,157
3524709,JAGUARIUNA,SP,531.76,158
3537305,PENAPOLIS,SP,531.58,159
4113700,LONDRINA,PR,531.49,160
3138401,LEOPOLDINA,MG,531.48,161
3160900,SAO BRAS DO SUACUI,MG,531.37,162
3504107,ATIBAIA,SP,531.3,163
3522604,ITAPIRA,SP,531.29,164
3525300,JAU,SP,531.27,165
3204609,SANTA TERESA,ES,531.27,166
3146107,OURO PRETO,MG,531.27,167
3128709,GUAXUPE,MG,531.19,168
3151701,POCO FUNDO,MG,531.11,169
3506102,BEBEDOURO,SP,531.1,170
3162906,SAO JOAO NEPOMUCENO,MG,531.08,171
3123007,DORES DE CAMPOS,MG,530.92,172
3149101,PEDRALVA,MG,530.92,173
3540705,PORTO FERREIRA,SP,530.9,174
4216602,SAO JOSE,SC,530.82,175
4313086,NOVA PADUA,RS,530.73,176
4300802,ANTONIO PRADO,RS,530.66,177
3103801,ARAPUA,MG,530.57,178
4201703,ASCURRA,SC,530.55,179
3102209,ALVARENGA,MG,530.46,180
4313102,NOVA PALMA,RS,530.42,181
3500105,ADAMANTINA,SP,530.39,182
3105103,BAMBUI,MG,530.3,183
3524808,JALES,SP,530.18,184
4307807,ESTRELA,RS,530.13,185
3303906,PETROPOLIS,RJ,529.98,186
3202454,IBATIBA,ES,529.77,187
4310207,IJUI,RS,529.71,188
3505708,BARUERI,SP,529.66,189
4119905,PONTA GROSSA,PR,529.66,190
4321204,TAQUARA,RS,529.59,191
3131703,ITABIRA,MG,529.58,192
3547809,SANTO ANDRE,SP,529.4,193
4201901,AURORA,SC,529.39,194
3506003,BAURU,SP,529.33,195
3505906,BATATAIS,SP,529.02,196
4316808,SANTA CRUZ DO SUL,RS,528.86,197
3304607,SANTA MARIA MADALENA,RJ,528.8,198
3110905,CAMPANHA,MG,528.79,199
4210035,LUZERNA,SC,528.77,200
3548708,SAO BERNARDO DO CAMPO,SP,528.63,201
3554102,TAUBATE,SP,528.62,202
4215802,SAO BENTO DO SUL,SC,528.57,203
4309555,HARMONIA,RS,528.57,204
3121407,DESTERRO DE ENTRE RIOS,MG,528.47,205
4321907,TRES PASSOS,RS,528.46,206
4317905,SANTO CRISTO,RS,528.24,207
4322251,TUPANDI,RS,528.21,208
4312385,MONTE BELO DO SUL,RS,528.2,209
4307005,ERECHIM,RS,528.14,210
3504602,BADY BASSITT,SP,528.07,211
4209201,LACERDOPOLIS,SC,528.06,212
3524105,ITUVERAVA,SP,528.05,213
4300109,AGUDO,RS,528.02,214
4321626,TRAVESSEIRO,RS,528,215
3549102,SAO JOAO DA BOA VISTA,SP,527.86,216
3156908,SACRAMENTO,MG,527.85,217
3300704,CABO FRIO,RJ,527.74,218
3306008,TRES RIOS,RJ,527.72,219
4300208,AJURICABA,RS,527.68,220
3115607,CEDRO DO ABAETE,MG,527.68,221
3167202,SETE LAGOAS,MG,527.65,222
2404705,IPANGUACU,RN,527.59,223
3104007,ARAXA,MG,527.44,224
3516507,GABRIEL MONTEIRO,SP,527.31,225
3518206,GUARARAPES,SP,527.27,226
3145901,OURO BRANCO,MG,527.24,227
4214805,RIO DO SUL,SC,527.22,228
4311403,LAJEADO,RS,527.12,229
3123908,ENTRE RIOS DE MINAS,MG,527.09,230
3530508,MOCOCA,SP,526.81,231
4305934,CORONEL PILAR,RS,526.78,232
2611606,RECIFE,PE,526.74,233
4318432,SAO JOAO DO POLESINE,RS,526.74,234
4311106,JAGUARI,RS,526.67,235
4301701,BARAO DE COTEGIPE,RS,526.67,236
3542909,RIBEIRAO BONITO,SP,526.62,237
3538808,PIRAJU,SP,526.6,238
4212601,PERITIBA,SC,526.37,239
3550308,SAO PAULO,SP,526.31,240
3529005,MARILIA,SP,526.29,241
4309704,HUMAITA,RS,526.2,242
3300308,BARRA DO PIRAI,RJ,526.13,243
3130309,IGUATAMA,MG,525.99,244
4314472,PINHAL GRANDE,RS,525.98,245
4204608,CRICIUMA,SC,525.96,246
3104205,ARCOS,MG,525.84,247
3538006,PINDAMONHANGABA,SP,525.76,248
3523909,ITU,SP,525.75,249
4112603,JARDIM OLINDA,PR,525.75,250
2800308,ARACAJU,SE,525.73,251
4305116,CENTENARIO,RS,525.61,252
4320602,SEVERIANO DE ALMEIDA,RS,525.55,253
3553708,TAQUARITINGA,SP,525.5,254
3503406,AREALVA,SP,525.45,255
3147303,PARAISOPOLIS,MG,525.45,256
4210506,MARAVILHA,SC,525.32,257
3552205,SOROCABA,SP,525.27,258
3504503,AVARE,SP,525.19,259
4202909,BRUSQUE,SC,525.15,260
3504008,ASSIS,SP,525.11,261
4322541,VALE REAL,RS,525.01,262
3108107,BONFIM,MG,524.96,263
3545605,SANTA ADELIA,SP,524.9,264
4321451,TEUTONIA,RS,524.85,265
3557105,VOTUPORANGA,SP,524.76,266
4208906,JARAGUA DO SUL,SC,524.72,267
3530706,MOGI GUACU,SP,524.6,268
4115804,MEDIANEIRA,PR,524.59,269
3149903,PERDOES,MG,524.57,270
3121308,DESCOBERTO,MG,524.54,271
3123304,DORES DO TURVO,MG,524.54,272
3302106,ITAOCARA,RJ,524.43,273
4322186,TUPANCI DO SUL,RS,524.43,274
3503802,ARTUR NOGUEIRA,SP,524.36,275
4208203,ITAJAI,SC,524.3,276
3538204,PINHALZINHO,SP,524.28,277
4302204,BOA VISTA DO BURICA,RS,524.25,278
4308607,GARIBALDI,RS,524.23,279
4313003,NOVA BRESCIA,RS,524.22,280
3302205,ITAPERUNA,RJ,524.19,281
3519600,IBITINGA,SP,524.01,282
4306403,DOIS IRMAOS,RS,523.82,283
3541406,PRESIDENTE PRUDENTE,SP,523.74,284
4305371,CHARRUA,RS,523.72,285
3520905,IPAUSSU,SP,523.7,286
4118501,PATO BRANCO,PR,523.66,287
3500808,ALFREDO MARCONDES,SP,523.62,288
4315131,POUSO NOVO,RS,523.56,289
4313300,NOVA PRATA,RS,523.55,290
4211900,PALHOCA,SC,523.44,291
4127700,TOLEDO,PR,523.36,292
3535200,PALMEIRA D OESTE,SP,523.34,293
4306809,ENCANTADO,RS,523.33,294
4113908,MALLET,PR,523.31,295
4300901,ARATIBA,RS,523.31,296
3137809,LAMBARI,MG,523.11,297
3168051,TAPARUBA,MG,522.99,298
3118304,CONSELHEIRO LAFAIETE,MG,522.94,299
3147709,PASSA TEMPO,MG,522.89,300
3128402,GUARANI,MG,522.88,301
3545001,SALESOPOLIS,SP,522.84,302
4305306,CHAPADA,RS,522.83,303
3114907,CASA GRANDE,MG,522.82,304
3149309,PEDRO LEOPOLDO,MG,522.78,305
3513009,COTIA,SP,522.73,306
3107406,BOM DESPACHO,MG,522.7,307
3104908,BAEPENDI,MG,522.7,308
3530607,MOGI DAS CRUZES,SP,522.64,309
3304524,RIO DAS OSTRAS,RJ,522.63,310
3502101,ANDRADINA,SP,522.59,311
4315800,ROCA SALES,RS,522.56,312
3513405,CRUZEIRO,SP,522.5,313
3514403,DRACENA,SP,522.46,314
4311791,MARATA,RS,522.42,315
