CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
31341290,3131703,Itabira,MG,763.16,1,C DE EDUC INF FIDE
29181780,2927408,Salvador,BA,762.53,2,EMPREENDIMENTOS EDUCACIONAIS ANCHIETA LTDA
31127841,3102605,Andradas,MG,750.06,3,INST DE EDUCACAO ALFA
31350664,3106200,Belo Horizonte,MG,749.56,4,COLEGIO BERNOULLI
23235543,2304400,Fortaleza,CE,746.8,5,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO
33102821,3303401,Nova Friburgo,RJ,746.26,6,CASA ESC ESPACO LIVRE
22025740,2211001,Teresina,PI,744.13,7,INSTITUTO DOM BARRETO
35399197,3550308,São Paulo,SP,736.32,8,OBJETIVO COLEGIO INTEGRADO
35450017,3509502,Campinas,SP,736.02,9,ANGLO CAMPINAS UNIDADE BARAO GERALDO COLEGIO
31349720,3131307,Ipatinga,MG,731.39,10,FIBONACCI COLEGIO
50032100,5002704,Campo Grande,MS,731.37,11,COLEGIO BIONATUS II
31004812,3106200,Belo Horizonte,MG,731.04,12,COLEGIO SANTO ANTONIO
35192946,3528403,Mairinque,SP,730.08,13,ALIANCA DE ENSINO MEDIO COLEGIO
23246880,2304400,Fortaleza,CE,729.7,14,CHRISTUS COLEGIO PRE UNIVERSITARIO
31004031,3106200,Belo Horizonte,MG,728.49,15,COLEGIO SANTA MARCELINA
22023658,2211001,Teresina,PI,728.03,16,EDUCANDARIO SANTA MARIA GORETTI
31004731,3106200,Belo Horizonte,MG,727.19,17,COLEGIO MAGNUM AGOSTINIANO - NOVA FLORESTA
35165347,3550308,São Paulo,SP,726.69,18,MOBILE COLEGIO
35563006,3550308,São Paulo,SP,723.98,19,ETAPA III COLEGIO
31333921,3144805,Nova Lima,MG,723.82,20,COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA
23246847,2304400,Fortaleza,CE,723.67,21,FARIAS BRITO COLEGIO DE APLICACAO
35141240,3550308,São Paulo,SP,723.65,22,VERTICE COLEGIO UNIDADE II
33165920,3303302,Niterói,RJ,723.58,23,COLEGIO E CURSO PONTO DE ENSINO
23564121,2304400,Fortaleza,CE,722.98,24,ANTARES COLEGIO PRE VESTIBULAR
35165669,3524303,Jaboticabal,SP,722.56,25,JAGUAR DE ENSINO INSTITUTO
52096785,5208707,Goiânia,GO,722.25,26,COLEGIO OLIMPO INTEGRAL
33062633,3304557,Rio de Janeiro,RJ,722.18,27,COL DE SAO BENTO
35131489,3526803,Lençóis Paulista,SP,722.15,28,FRANCISCO GARRIDO COLEGIO
31351725,3106200,Belo Horizonte,MG,721.86,29,COLEGUIUM
33040516,3303906,Petrópolis,RJ,721.82,30,COLEGIO IPIRANGA
22129529,2211001,Teresina,PI,721.34,31,CEV COLEGIO UNIDADE JOCKEY
31128074,3171303,Viçosa,MG,721.29,32,COL DE APLICACAO DA UFV - COLUNI
31004651,3106200,Belo Horizonte,MG,720.31,33,COLEGIO SANTO AGOSTINHO
33135827,3304557,Rio de Janeiro,RJ,717.94,34,COLEGIO E CURSO PONTO DE ENSINO
26534711,2611606,Recife,PE,717.58,35,COLEGIO COGNITIVO
